ds,n,precision,recall,f1,auc,tn,fp,fn,tp,accuracy,specificity,balanced_accuracy,roc_auc,spam_rate,proba_col,preds_file,threshold_used,fpr_used,suggested_threshold,suggested_mode,suggested_precision,suggested_recall,suggested_f1,suggested_fpr
2025-10-02,178,0.933333333333333,0.325581395348837,0.482758620689655,0.700707785642063,90,2,58,28,,,,,,,,,,,,,,,
2025-10-03,142,0.916667,0.323529,0.478261,,72,2,46,22,0.661972,0.972973,0.648251,0.750099,0.478873,proba_spam,2025-10-03.csv,0.6,0.027027,0.690148492452811,precision,0.956521739130435,0.323529411764706,0.483516483516484,0.0135135135135133
2025-10-04,150,1.0,0.231884,0.376471,,81,0,53,16,0.646667,1.0,0.615942,0.632671,0.46,proba_spam,2025-10-04.csv,0.713844982882923,0.0,0.713844982882923,precision,1.0,0.231884057971015,0.376470588235294,0.0
2025-10-05,132,0.898551,1.0,0.946565,,63,7,0,62,0.94697,0.9,0.95,0.999309,0.469697,proba_spam,2025-10-05.csv,0.158558684756907,0.1,0.440400466757538,precision,0.953846153846154,1.0,0.976377952755906,0.0428571428571422
2025-10-06,120,0.814815,0.916667,0.862745,,91,5,2,22,0.941667,0.947917,0.932292,0.94184,0.2,proba_spam,2025-10-06.csv,0.5791558623313904,0.052083,0.9984932,precision,1.0,0.0833333333333333,0.1538461538461538,0.0
2025-10-09,151,0.962963,0.83871,0.896552,,119,1,5,26,0.960265,0.991667,0.915188,0.986828,0.205298,proba_spam,2025-10-09.csv,0.770617663860321,0.008333,0.77061766,precision,0.9629629629629628,0.8387096774193549,0.896551724137931,0.0083333333333332
2025-10-10,156,0.5,0.21875,0.304348,,117,7,25,7,0.794872,0.943548,0.581149,0.78251,0.205128,proba_spam,2025-10-10.csv,0.77061766,0.056452,0.9759647,precision,0.6666666666666666,0.0625,0.11428571428571428,0.008064516129032194
